,Benchmark,Hardware Vendor	,System,Peak Result,Base Result,# Cores,# Chips ,Processor ,Published
576,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7543 32-Core Processor),12.5,12.5,64,2,AMD EPYC 7543,Apr-21
401,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7543 32-Core Processor),12.5,12.5,64,2,AMD EPYC 7543,Mar-21
577,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7543 32-Core Processor),12.6,12.5,64,2,AMD EPYC 7543,Mar-21
318,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7543 32-Core Processor),12.5,12.4,64,2,AMD EPYC 7543,Mar-21
367,CINT2017,Dell Inc.,PowerEdge R6515 (AMD EPYC 7543P 32-Core Processor),12.4,12.4,32,1,AMD EPYC 7543P,Jun-21
319,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7543P 32-Core Processor),12.5,12.4,32,1,AMD EPYC 7543P,Jun-21
320,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7543P 32-Core Processor),12.5,12.5,32,1,AMD EPYC 7543P,May-21
578,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7543P 32-Core Processor),12.5,12.4,32,1,AMD EPYC 7543P,Aug-21
402,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7543P 32-Core Processor),12.7,12.6,32,1,AMD EPYC 7543P,Aug-21
537,CINT2017,Dell Inc.,PowerEdge R7515 (AMD EPYC 7543P 32-Core Processor),12.5,12.4,32,1,AMD EPYC 7543P,May-21
520,CINT2017,Dell Inc.,"PowerEdge R7425 (AMD EPYC 7551, 2.00GHz)",6.88,6.69,64,2,AMD EPYC 7551,Dec-18
368,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7552, 2.20 GHz)",8.72,8.54,48,1,AMD EPYC 7552,Feb-20
538,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7552, 2.20 GHz)",8.76,8.43,48,1,AMD EPYC 7552,Apr-20
321,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7552, 2.20 GHz)",8.67,8.44,96,2,AMD EPYC 7552,Jan-20
579,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7552, 2.20 GHz)",8.7,8.48,96,2,AMD EPYC 7552,Dec-19
539,CINT2017,Dell Inc.,PowerEdge R7515 (AMD EPYC 7573X 32-Core Processor),12.8,12.6,32,1,AMD EPYC 7573X,Mar-22
369,CINT2017,Dell Inc.,PowerEdge R6515 (AMD EPYC 7573X),12.8,12.6,32,1,AMD EPYC 7573X,Mar-22
403,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7573X 32-Core Processor),12.9,12.7,64,2,AMD EPYC 7573X,Mar-22
580,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7573X 32-Core Processor),12.8,12.7,64,2,AMD EPYC 7573X,Mar-22
370,CINT2017,Dell Inc.,PowerEdge R6515 (AMD EPYC 75F3 32-Core Processor),13.3,13.3,32,1,AMD EPYC 75F3,Apr-21
540,CINT2017,Dell Inc.,PowerEdge R7515 (AMD EPYC 75F3 32-Core Processor),13.4,13.3,32,1,AMD EPYC 75F3,Apr-21
581,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 75F3 32-Core Processor),13.4,13.4,64,2,AMD EPYC 75F3,Mar-21
322,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 75F3 32-Core Processor),13.5,13.4,64,2,AMD EPYC 75F3,Mar-21
521,CINT2017,Dell Inc.,"PowerEdge R7425, AMD EPYC 7601, 2.20 GHz",7.33,7.16,64,2,AMD EPYC 7601,Dec-18
371,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7642, 2.30 GHz)",8.8,8.61,48,1,AMD EPYC 7642,Feb-20
541,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7642, 2.30 GHz)",8.7,8.44,48,1,AMD EPYC 7642,Apr-20
582,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7642, 2.30 GHz)",8.73,8.52,96,2,AMD EPYC 7642,Dec-19
323,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7642, 2.30 GHz)",8.78,8.6,96,2,AMD EPYC 7642,Dec-19
372,CINT2017,Dell Inc.,PowerEdge R6515 (AMD EPYC 7643 48-Core Processor),12.3,12.2,48,1,AMD EPYC 7643,Sep-21
542,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7662, 2.00 GHz)",8.74,8.44,64,1,AMD EPYC 7662,Apr-20
373,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7662, 2.00 GHz)",8.66,8.49,64,1,AMD EPYC 7662,Feb-20
324,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7662, 2.00 GHz)",8.64,8.12,128,2,AMD EPYC 7662,Jan-20
583,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7662, 2.00 GHz)",8.75,8.55,128,2,AMD EPYC 7662,Dec-19
404,CINT2017,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7662, 2.00 GHz)",8.73,8.41,128,2,AMD EPYC 7662,Dec-19
374,CINT2017,Dell Inc.,PowerEdge R6515 (AMD EPYC 7663 56-Core Processor),12.0,11.9,56,1,AMD EPYC 7663,Sep-21
325,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7702, 2.00 GHz)",8.9,8.6,128,2,AMD EPYC 7702,Oct-19
584,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7702, 2.00 GHz)",8.86,8.65,128,2,AMD EPYC 7702,Dec-19
405,CINT2017,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7702, 2.00 GHz)",8.84,8.54,128,2,AMD EPYC 7702,Oct-19
326,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7702P, 2.00GHz)",8.77,8.43,64,1,AMD EPYC 7702P,Nov-19
543,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7702P, 2.00GHz)",8.85,8.6,64,1,AMD EPYC 7702P,Oct-19
375,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7702P, 2.00 GHz)",8.85,8.58,64,1,AMD EPYC 7702P,Sep-19
585,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7713 64-Core Processor),12.4,12.4,128,2,AMD EPYC 7713,Mar-21
327,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7713 64-Core Processor),12.3,12.2,128,2,AMD EPYC 7713,Mar-21
406,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7713 64-Core Processor),12.4,12.4,128,2,AMD EPYC 7713,Mar-21
407,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7713P 64-Core Processor),12.5,12.5,64,1,AMD EPYC 7713P,Aug-21
376,CINT2017,Dell Inc.,PowerEdge R6515 (AMD EPYC 7713P 64-Core Processor),12.3,12.3,64,1,AMD EPYC 7713P,Jun-21
329,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7713P 64-Core Processor),12.4,12.4,64,1,AMD EPYC 7713P,May-21
328,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7713P 64-Core Processor),12.3,12.2,64,1,AMD EPYC 7713P,Jun-21
544,CINT2017,Dell Inc.,PowerEdge R7515 (AMD EPYC 7713P 64-Core Processor),12.4,12.4,64,1,AMD EPYC 7713P,May-21
586,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7713P 64-Core Processor),12.4,12.3,64,1,AMD EPYC 7713P,Jul-21
545,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7742, 2.25GHz)",8.87,8.64,64,1,AMD EPYC 7742,Oct-19
377,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7742, 2.25 GHz)",8.86,8.59,64,1,AMD EPYC 7742,Sep-19
587,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7742, 2.25 GHz)",8.83,8.58,128,2,AMD EPYC 7742,Dec-19
331,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7742, 2.25GHz)",8.88,8.67,128,2,AMD EPYC 7742,Oct-19
330,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7742, 2.25 GHz)",8.9,8.66,128,2,AMD EPYC 7742,Jan-20
408,CINT2017,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7742, 2.25 GHz)",8.93,8.69,128,2,AMD EPYC 7742,Oct-19
378,CINT2017,Dell Inc.,PowerEdge R6515 (AMD EPYC 7763 64-Core Processor),11.9,11.9,64,1,AMD EPYC 7763,Mar-21
547,CINT2017,Dell Inc.,PowerEdge R7515 (AMD EPYC 7763 64-Core Processor),11.9,11.9,64,1,AMD EPYC 7763,Mar-21
546,CINT2017,Dell Inc.,PowerEdge R7515 (AMD EPYC 7763 64-Core Processor),11.9,11.9,64,1,AMD EPYC 7763,Apr-21
588,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7763 64-Core Processor),11.9,11.9,128,2,AMD EPYC 7763,Apr-21
589,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7763 64-Core Processor),11.9,11.8,128,2,AMD EPYC 7763,Mar-21
333,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7763 64-Core Processor),11.9,11.9,128,2,AMD EPYC 7763,Mar-21
332,CINT2017,Dell Inc.,PowerEdge C6525 (AMD EPYC 7763 64-Core Processor),11.8,11.8,128,2,AMD EPYC 7763,May-21
410,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7763 64-Core Processor),11.9,11.9,128,2,AMD EPYC 7763,Mar-21
409,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7763 64-Core Processor),12.0,12.0,128,2,AMD EPYC 7763,Jun-21
548,CINT2017,Dell Inc.,PowerEdge R7515 (AMD EPYC 7773X),12.4,12.3,64,1,AMD EPYC 7773X,Mar-22
411,CINT2017,Dell Inc.,PowerEdge R6525 (AMD EPYC 7773X 64-Core Processor),12.5,12.3,128,2,AMD EPYC 7773X,Mar-22
590,CINT2017,Dell Inc.,PowerEdge R7525 (AMD EPYC 7773X 64-Core Processor),12.5,12.3,128,2,AMD EPYC 7773X,Mar-22
549,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7F32, 3.70 GHz)",9.65,9.3,8,1,AMD EPYC 7F32,Apr-20
379,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7F32, 3.70 GHz)",9.59,9.29,8,1,AMD EPYC 7F32,Apr-20
334,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7F32, 3.70 GHz)",10.2,9.71,16,2,AMD EPYC 7F32,Apr-20
591,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7F32, 3.70 GHz)",10.2,9.79,16,2,AMD EPYC 7F32,May-20
412,CINT2017,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7F32, 3.70 GHz)",10.2,9.65,16,2,AMD EPYC 7F32,Apr-20
380,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7F52, 3.50 GHz)",9.91,9.63,16,1,AMD EPYC 7F52,Apr-20
550,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7F52, 3.50 GHz)",10.1,9.77,16,1,AMD EPYC 7F52,Apr-20
592,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7F52, 3.50 GHz)",10.4,9.98,32,2,AMD EPYC 7F52,May-20
335,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7F52, 3.50 GHz)",10.2,9.92,32,2,AMD EPYC 7F52,Apr-20
413,CINT2017,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7F52, 3.50 GHz)",10.2,9.92,32,2,AMD EPYC 7F52,Apr-20
381,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7F72, 3.20 GHz)",9.42,9.13,24,1,AMD EPYC 7F72,Apr-20
382,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7F72, 3.20 GHz)",9.86,9.53,24,1,AMD EPYC 7F72,Apr-20
551,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7F72, 3.20 GHz)",9.65,9.32,24,1,AMD EPYC 7F72,Apr-20
336,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7F72, 3.20 GHz)",9.75,9.41,48,2,AMD EPYC 7F72,Apr-20
593,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7F72, 3.20 GHz)",9.9,9.56,48,2,AMD EPYC 7F72,May-20
414,CINT2017,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7F72, 3.20 GHz)",9.73,9.26,48,2,AMD EPYC 7F72,Apr-20
383,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7H12, 2.60 GHz)",8.62,8.45,64,1,AMD EPYC 7H12,Feb-20
594,CINT2017,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7H12, 2.60 GHz)",8.65,8.46,128,2,AMD EPYC 7H12,Dec-19
415,CINT2017,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7H12, 2.60 GHz)",8.64,8.37,128,2,AMD EPYC 7H12,Dec-19
337,CINT2017,Dell Inc.,PowerEdge C6615 (AMD EPYC 8024P 8-Core Processor),10.5,10.3,8,1,AMD EPYC 8024P,Dec-23
338,CINT2017,Dell Inc.,PowerEdge C6615 (AMD EPYC 8124P 16-Core Processor),10.9,10.8,16,1,AMD EPYC 8124P,Dec-23
339,CINT2017,Dell Inc.,PowerEdge C6615 (AMD EPYC 8224P 24-Core Processor),11.0,10.8,24,1,AMD EPYC 8224P,Dec-23
340,CINT2017,Dell Inc.,PowerEdge C6615 (AMD EPYC 8324P 32-Core Processor),11.0,10.9,32,1,AMD EPYC 8324P,Sep-23
341,CINT2017,Dell Inc.,PowerEdge C6615 (AMD EPYC 8434P 48-Core Processor),11.3,11.2,48,1,AMD EPYC 8434P,Dec-23
342,CINT2017,Dell Inc.,PowerEdge C6615 (AMD EPYC 8534P 64-Core Processor),11.4,11.2,64,1,AMD EPYC 8534P,Sep-23
343,CINT2017,Dell Inc.,PowerEdge C6615 (AMD EPYC 8534P 64-Core Processor),11.2,11.2,64,1,AMD EPYC 8534P,Sep-23
492,CINT2017,Dell Inc.,PowerEdge R6715 (AMD EPYC 9015 8-Core Processor),16.9,16.7,8,1,AMD EPYC 9015,Jul-25
670,CINT2017,Dell Inc.,PowerEdge R7715 (AMD EPYC 9015 8-Core Processor),17.0,16.7,8,1,AMD EPYC 9015,Jun-25
505,CINT2017,Dell Inc.,PowerEdge R6725 (AMD EPYC 9015 8-Core Processor),17.7,17.4,16,2,AMD EPYC 9015,Jun-25
671,CINT2017,Dell Inc.,PowerEdge R7715 (AMD EPYC 9115 16-Core Processor),17.5,17.2,16,1,AMD EPYC 9115,Jun-25
493,CINT2017,Dell Inc.,PowerEdge R6715 (AMD EPYC 9115 16-Core Processor),17.5,17.3,16,1,AMD EPYC 9115,Jul-25
506,CINT2017,Dell Inc.,PowerEdge R6725 (AMD EPYC 9115 16-Core Processor),17.8,17.4,32,2,AMD EPYC 9115,Jun-25
680,CINT2017,Dell Inc.,PowerEdge R7725 (AMD EPYC 9115 16-Core Processor),17.7,17.4,32,2,AMD EPYC 9115,Jun-25
596,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9124 16-Core Processor),0.0,12.9,16,1,AMD EPYC 9124,Feb-23
595,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9124 16-Core Processor),13.0,12.9,16,1,AMD EPYC 9124,Jan-24
417,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9124 16-Core Processor),0.0,12.9,16,1,AMD EPYC 9124,Feb-23
416,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9124 16-Core Processor),13.2,12.9,16,1,AMD EPYC 9124,Feb-24
457,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9124 16-Core Processor),13.1,13.0,32,2,AMD EPYC 9124,Mar-24
458,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9124 16-Core Processor),0.0,13.0,32,2,AMD EPYC 9124,Feb-23
633,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9124 16-Core Processor),13.2,13.1,32,2,AMD EPYC 9124,Jan-24
634,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9124 16-Core Processor),0.0,13.0,32,2,AMD EPYC 9124,Feb-23
672,CINT2017,Dell Inc.,PowerEdge R7715 (AMD EPYC 9135 16-Core Processor),17.0,16.8,16,1,AMD EPYC 9135,Nov-24
507,CINT2017,Dell Inc.,PowerEdge R6725 (AMD EPYC 9135 16-Core Processor),17.3,17.0,32,2,AMD EPYC 9135,Nov-24
681,CINT2017,Dell Inc.,PowerEdge R7725 (AMD EPYC 9135 16-Core Processor),17.4,17.0,32,2,AMD EPYC 9135,Nov-24
419,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9174F 16-Core Processor),0.0,16.2,16,1,AMD EPYC 9174F,Feb-23
418,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9174F 16-Core Processor),16.3,16.2,16,1,AMD EPYC 9174F,Feb-24
597,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9174F 16-Core Processor),16.5,16.2,16,1,AMD EPYC 9174F,Jan-24
598,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9174F 16-Core Processor),0.0,16.2,16,1,AMD EPYC 9174F,Feb-23
460,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9174F 16-Core Processor),0.0,16.3,32,2,AMD EPYC 9174F,Feb-23
459,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9174F 16-Core Processor),16.6,16.3,32,2,AMD EPYC 9174F,Feb-24
636,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9174F 16-Core Processor),16.4,16.3,32,2,AMD EPYC 9174F,Feb-23
635,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9174F 16-Core Processor),16.6,16.3,32,2,AMD EPYC 9174F,Jan-24
673,CINT2017,Dell Inc.,PowerEdge R7715 (AMD EPYC 9175F 16-Core Processor),21.1,20.8,16,1,AMD EPYC 9175F,Jun-25
682,CINT2017,Dell Inc.,PowerEdge R7725 (AMD EPYC 9175F 16-Core Processor),21.6,21.2,32,2,AMD EPYC 9175F,Jul-25
599,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9184X 16-Core Processor),16.2,16.0,16,1,AMD EPYC 9184X,Sep-23
420,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9184X 16-Core Processor),16.1,15.9,16,1,AMD EPYC 9184X,Sep-23
637,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9184X 16-Core Processor),16.3,16.0,32,2,AMD EPYC 9184X,Sep-23
461,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9184X 16-Core Processor),16.3,16.1,32,2,AMD EPYC 9184X,Sep-23
422,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9224 24-Core Processor),0.0,13.0,24,1,AMD EPYC 9224,Feb-23
600,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9224 24-Core Processor),13.1,13.1,24,1,AMD EPYC 9224,Jan-24
601,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9224 24-Core Processor),0.0,13.0,24,1,AMD EPYC 9224,Feb-23
421,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9224 24-Core Processor),13.2,13.1,24,1,AMD EPYC 9224,Feb-24
638,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9224 24-Core Processor),13.1,13.1,48,2,AMD EPYC 9224,Jan-24
463,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9224 24-Core Processor),0.0,13.1,48,2,AMD EPYC 9224,Feb-23
462,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9224 24-Core Processor),13.3,13.1,48,2,AMD EPYC 9224,Mar-24
639,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9224 24-Core Processor),0.0,13.0,48,2,AMD EPYC 9224,Feb-23
603,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9254 24-Core Processor),15.5,15.3,24,1,AMD EPYC 9254,May-23
602,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9254 24-Core Processor),15.5,15.3,24,1,AMD EPYC 9254,Jan-24
423,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9254 24-Core Processor),15.5,15.3,24,1,AMD EPYC 9254,Feb-24
424,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9254 24-Core Processor),0.0,15.3,24,1,AMD EPYC 9254,May-23
641,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9254 24-Core Processor),0.0,15.4,48,2,AMD EPYC 9254,May-23
465,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9254 24-Core Processor),0.0,15.4,48,2,AMD EPYC 9254,May-23
464,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9254 24-Core Processor),15.6,15.4,48,2,AMD EPYC 9254,Feb-24
466,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9254 24-Core Processor),0.0,15.3,48,2,AMD EPYC 9254,Feb-23
640,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9254 24-Core Processor),15.6,15.4,48,2,AMD EPYC 9254,Jan-24
642,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9254 24-Core Processor),0.0,15.3,48,2,AMD EPYC 9254,Feb-23
674,CINT2017,Dell Inc.,PowerEdge R7715 (AMD EPYC 9255 24-Core Processor),18.4,18.1,24,1,AMD EPYC 9255,Jun-25
494,CINT2017,Dell Inc.,PowerEdge R6715 (AMD EPYC 9255 24-Core Processor),18.4,18.1,24,1,AMD EPYC 9255,Jun-25
683,CINT2017,Dell Inc.,PowerEdge R7725 (AMD EPYC 9255 24-Core Processor),18.6,18.4,48,2,AMD EPYC 9255,Jun-25
605,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9274F 24-Core Processor),16.1,15.9,24,1,AMD EPYC 9274F,May-23
425,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9274F 24-Core Processor),16.1,15.9,24,1,AMD EPYC 9274F,Feb-24
604,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9274F 24-Core Processor),16.1,15.9,24,1,AMD EPYC 9274F,Jan-24
426,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9274F 24-Core Processor),0.0,15.9,24,1,AMD EPYC 9274F,May-23
643,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9274F 24-Core Processor),16.2,16.0,48,2,AMD EPYC 9274F,Jan-24
644,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9274F 24-Core Processor),0.0,15.9,48,2,AMD EPYC 9274F,May-23
468,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9274F 24-Core Processor),0.0,16.0,48,2,AMD EPYC 9274F,May-23
467,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9274F 24-Core Processor),16.2,16.0,48,2,AMD EPYC 9274F,Apr-24
684,CINT2017,Dell Inc.,PowerEdge R7725 (AMD EPYC 9275F 24-Core Processor),20.7,20.1,48,2,AMD EPYC 9275F,Jul-25
428,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9334 32-Core Processor),0.0,14.4,32,1,AMD EPYC 9334,Feb-23
427,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9334 32-Core Processor),14.7,14.4,32,1,AMD EPYC 9334,Feb-24
607,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9334 32-Core Processor),0.0,14.4,32,1,AMD EPYC 9334,Feb-23
606,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9334 32-Core Processor),14.7,14.4,32,1,AMD EPYC 9334,Jan-24
645,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9334 32-Core Processor),14.8,14.5,64,2,AMD EPYC 9334,Jan-24
646,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9334 32-Core Processor),0.0,14.5,64,2,AMD EPYC 9334,Feb-23
469,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9334 32-Core Processor),14.8,14.5,64,2,AMD EPYC 9334,Apr-24
470,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9334 32-Core Processor),0.0,14.5,64,2,AMD EPYC 9334,Feb-23
495,CINT2017,Dell Inc.,PowerEdge R6715 (AMD EPYC 9335 32-Core Processor),18.8,18.5,32,1,AMD EPYC 9335,Jun-25
685,CINT2017,Dell Inc.,PowerEdge R7725 (AMD EPYC 9335 32-Core Processor),19.0,18.8,64,2,AMD EPYC 9335,Jun-25
508,CINT2017,Dell Inc.,PowerEdge R6725 (AMD EPYC 9335 32-Core Processor),19.0,18.6,64,2,AMD EPYC 9335,Jun-25
429,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9354 32-Core Processor),14.4,14.2,32,1,AMD EPYC 9354,Feb-24
608,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9354 32-Core Processor),14.4,14.2,32,1,AMD EPYC 9354,Jan-24
430,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9354 32-Core Processor),0.0,14.2,32,1,AMD EPYC 9354,Feb-23
648,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9354 32-Core Processor),0.0,14.3,64,2,AMD EPYC 9354,Feb-23
647,CINT2017,Dell Inc.,PowerEdge R7625 (AMD EPYC 9354 32-Core Processor),14.5,14.3,64,2,AMD EPYC 9354,Jan-24
471,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9354 32-Core Processor),14.5,14.2,64,2,AMD EPYC 9354,Feb-24
472,CINT2017,Dell Inc.,PowerEdge R6625 (AMD EPYC 9354 32-Core Processor),0.0,14.3,64,2,AMD EPYC 9354,Feb-23
610,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9354P 32-Core Processor),0.0,14.2,32,1,AMD EPYC 9354P,Feb-23
609,CINT2017,Dell Inc.,PowerEdge R7615 (AMD EPYC 9354P 32-Core Processor),14.4,14.2,32,1,AMD EPYC 9354P,Jan-24
432,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9354P 32-Core Processor),0.0,14.2,32,1,AMD EPYC 9354P,Feb-23
431,CINT2017,Dell Inc.,PowerEdge R6615 (AMD EPYC 9354P 32-Core Processor),14.4,14.2,32,1,AMD EPYC 9354P,Feb-24
509,CINT2017,Dell Inc.,PowerEdge R6725 (AMD EPYC 9355 32-Core Processor),19.2,18.8,64,2,AMD EPYC 9355,Nov-24
686,CINT2017,Dell Inc.,PowerEdge R7725 (AMD EPYC 9355 32-Core Processor),19.2,18.9,64,2,AMD EPYC 9355,Nov-24
675,CINT2017,Dell Inc.,PowerEdge R7715 (AMD EPYC 9355P 32-Core Processor),19.0,18.6,32,1,AMD EPYC 9355P,Nov-24
496,CINT2017,Dell Inc.,PowerEdge R6715 (AMD EPYC 9355P 32-Core Processor),19.0,18.6,32,1,AMD EPYC 9355P,Nov-24
